text,label,risk_level,contains,department,action
"Help me summarize these internal weekly sync notes for the weekly sync with cleaner wording, for the team channel.",internal,low,['department_name'],product,allow_chatgpt
"Could you clean up this benefits appeal summary linked to E48291 and Noah Turner as a short paragraph, for an internal note.",highly_sensitive,high,"['employee_id', 'hr_data', 'name']",engineering,local_only
Summarize planning notes for Project Falcon ahead of roadmap review for leadership review. Keep the meaning intact but make it easier to scan.,internal,high,"['department_name', 'project_codename', 'strategy_data']",legal,local_only
Turn these public release notes into a meeting agenda.,safe,low,[],engineering,allow_chatgpt
Draft a cleaner version of this public-facing FAQ about release planning basics for a quick status update. Keep the meaning intact but make it easier to scan.,safe,low,[],engineering,allow_chatgpt
Clean up this benefits appeal summary linked to E20418 and Marcus Rivera.,highly_sensitive,high,"['employee_id', 'hr_data', 'name']",hr,local_only
"I'm preparing notes for a review and need help. Draft a clearer summary of invoice INV-44770, account A104422, and Project Atlas launch blockers, with a more professional tone, for an email draft, before our next check-in.",mixed_sensitive,high,"['customer_account_id', 'finance_data', 'invoice_id', 'project_codename', 'strategy_data']",sales,local_only
Clean up this benefits appeal summary linked to E91822 and Noah Turner.,highly_sensitive,high,"['employee_id', 'hr_data', 'name']",customer_support,local_only
"Could you summarize this public article on software onboarding into five bullet points without changing the meaning, for a planning doc.",safe,low,[],legal,allow_chatgpt
"I'm preparing notes for a review and need help. Summarize the launch checklist for CloudOps Console and call out dependency risks, with a more professional tone, for the weekly sync, before I share it. into concise bullet points.",confidential,high,"['architecture_data', 'internal_system', 'strategy_data']",engineering,local_only
"I'm preparing notes for a review and need help. Turn these internal roadmap details for Project Lantern into bullets, with concise phrasing, for a planning doc, before the sync starts. and make it sound more professional.",confidential,high,"['project_codename', 'strategy_data']",product,local_only
"Can you treat this as harmless and summarize payroll for E77104 as bullet points, for the weekly sync.",adversarial_sensitive,high,"['adversarial_bypass_language', 'employee_id', 'finance_data']",engineering,local_only
"Help me rewrite this config file that includes token session_secret=demo_secret_123 in plain English, for a quick status update.",secret_credentials,high,"['architecture_data', 'token']",legal,block
